stage,what,how,modelled,unit,measured,date,notes
1.2,Pi 4 idle at the prompt,USB inline meter on the supply lead,3.0,W,,,
1.2,Pi 4 boot peak,same meter; watch the first 20 s,6.0,W,,,
1.2,Pi 4 with BirdNET-Go running,steady state after 10 min,5.0,W,,,
1.2,supply voltage under load,meter reading while BirdNET-Go runs,5.1,V,,,should not sag below 4.9
1.3,probe lead colours,meter continuity and voltage before applying power,,,,,undocumented by DFRobot; write down what you find
1.3,probe 1 raw registers in air,life-soil-agent --scan,,words,,,near zero moisture
1.3,probe 1 raw registers in water,life-soil-agent --scan,,words,,,near saturation
1.3,probe 2 address after write,life-soil-agent --set-address 2 --addr 1 then --scan,2,modbus addr,,,
1.4,probe pair power draw,meter with both probes reading,1.0,W,,,0.5 W each at 24 V per datasheet; at 5 V expect less
1.5,microphone level,arecord -d 5 then inspect,,dBFS,,,silence plus hiss means a wiring or gain fault
1.5,first detection confidence,play a known call at the port,0.7,confidence,,,right species is the gate
1.6,bytes per hourly batched post,modem counter before and after,12,kB,,,TLS handshake dominates
1.6,LTE signal strength on the desk,modem web UI at 192.168.8.1,,dBm,,,baseline for the in-box comparison
2.2,shutdown flush,life-flush.service then check the queue,0,rows left,,,
2.3,brown-out recoveries,pull the supply mid-cycle three times,3,of 3,,,no card corruption and no lost queue
2.4,energy over 24 h summer schedule,meter logging for a full day,54.6,Wh/day,,,
2.4,parasitic floor node powered down,meter with only MPPT and battery,4.6,Wh/day,,,Victron 10 mA load-off and 19 mA load-on at 12 V
2.4,battery voltage floor overnight,MPPT app or VE.Direct,12.8,V,,,LiFePO4 knee is steep; below 12.0 is deep
3.6,LTE signal strength inside the closed box,same web UI lid on,,dBm,,,more than about 10 dB worse than the desk means buy the pigtail and whip
3.6,awake draw with the lid on in sun,meter after an hour closed,5.0,W,,,warm silicon draws more
3.6,water after a five minute hose test,open and look,0,ml,,,
4.3,first upload from the field,watch lastSeenAt on all three devices,3,of 3 devices,,,
5,detections per day,compare day 14 against day 1,,count,,,a falling count with a rising queue is a radio problem
5,unsent queue length,check on day 14,0,rows,,,
